"RK","flag","Team","Total Points","Previous Points","-","Positions"
"10","https://api.fifa.com/api/v3/picture/flags-sq-2/PRK?tx=c_fill,g_auto,q_auto,w_70,h_46","Korea DPR","1940","1940","0.00",""
"12","https://api.fifa.com/api/v3/picture/flags-sq-2/AUS?tx=c_fill,g_auto,q_auto,w_70,h_46","Australia","1911.1","1933.8","-22.70",""
"13","https://api.fifa.com/api/v3/picture/flags-sq-2/JPN?tx=c_fill,g_auto,q_auto,w_70,h_46","Japan","1910.67","1911","-0.33",""
"16","https://api.fifa.com/api/v3/picture/flags-sq-2/CHN?tx=c_fill,g_auto,q_auto,w_70,h_46","China PR","1858.99","1814.22","44.77",""
"17","https://api.fifa.com/api/v3/picture/flags-sq-2/KOR?tx=c_fill,g_auto,q_auto,w_70,h_46","Korea Republic","1843.21","1817.62","25.59",""
"32","https://api.fifa.com/api/v3/picture/flags-sq-2/VIE?tx=c_fill,g_auto,q_auto,w_70,h_46","Vietnam","1655.25","1659.17","-3.92",""
"40","https://api.fifa.com/api/v3/picture/flags-sq-2/TPE?tx=c_fill,g_auto,q_auto,w_70,h_46","Chinese Taipei","1585.21","1591.76","-6.55",""
"43","https://api.fifa.com/api/v3/picture/flags-sq-2/THA?tx=c_fill,g_auto,q_auto,w_70,h_46","Thailand","1541.05","1603.53","-62.48",""
"45","https://api.fifa.com/api/v3/picture/flags-sq-2/MYA?tx=c_fill,g_auto,q_auto,w_70,h_46","Myanmar","1523.8","1521.79","2.01",""
"48","https://api.fifa.com/api/v3/picture/flags-sq-2/UZB?tx=c_fill,g_auto,q_auto,w_70,h_46","Uzbekistan","1518.37","1524.45","-6.08",""
"54","https://api.fifa.com/api/v3/picture/flags-sq-2/PHI?tx=c_fill,g_auto,q_auto,w_70,h_46","Philippines","1438.9","1385.64","53.26",""
"59","https://api.fifa.com/api/v3/picture/flags-sq-2/IND?tx=c_fill,g_auto,q_auto,w_70,h_46","India","1417.27","1428.51","-11.24",""
"63","https://api.fifa.com/api/v3/picture/flags-sq-2/JOR?tx=c_fill,g_auto,q_auto,w_70,h_46","Jordan","1389.38","1389.38","0.00",""
"70","https://api.fifa.com/api/v3/picture/flags-sq-2/IRN?tx=c_fill,g_auto,q_auto,w_70,h_46","IR Iran","1361.16","1364.63","-3.47",""
"78","https://api.fifa.com/api/v3/picture/flags-sq-2/HKG?tx=c_fill,g_auto,q_auto,w_70,h_46","Hong Kong","1307.29","1307.29","0.00",""
"83","https://api.fifa.com/api/v3/picture/flags-sq-2/LAO?tx=c_fill,g_auto,q_auto,w_70,h_46","Laos","1272.76","1272.76","0.00",""
"87","https://api.fifa.com/api/v3/picture/flags-sq-2/BHR?tx=c_fill,g_auto,q_auto,w_70,h_46","Bahrain","1254.12","1254.12","0.00",""
"88","https://api.fifa.com/api/v3/picture/flags-sq-2/MAS?tx=c_fill,g_auto,q_auto,w_70,h_46","Malaysia","1252.58","1252.58","0.00",""
"96","https://api.fifa.com/api/v3/picture/flags-sq-2/IDN?tx=c_fill,g_auto,q_auto,w_70,h_46","Indonesia","1220.39","1236.24","-15.85",""
"97","https://api.fifa.com/api/v3/picture/flags-sq-2/GUM?tx=c_fill,g_auto,q_auto,w_70,h_46","Guam","1218.07","1218.07","0.00",""
"102","https://api.fifa.com/api/v3/picture/flags-sq-2/NEP?tx=c_fill,g_auto,q_auto,w_70,h_46","Nepal","1196.73","1196.73","0.00",""
"106","https://api.fifa.com/api/v3/picture/flags-sq-2/UAE?tx=c_fill,g_auto,q_auto,w_70,h_46","United Arab Emirates","1181.72","1181.72","0.00",""
"126","https://api.fifa.com/api/v3/picture/flags-sq-2/KGZ?tx=c_fill,g_auto,q_auto,w_70,h_46","Kyrgyz Republic","1118","1118","0.00",""
"128","https://api.fifa.com/api/v3/picture/flags-sq-2/MNG?tx=c_fill,g_auto,q_auto,w_70,h_46","Mongolia","1111.95","1111.95","0.00",""
"129","https://api.fifa.com/api/v3/picture/flags-sq-2/PLE?tx=c_fill,g_auto,q_auto,w_70,h_46","Palestine","1103.05","1103.05","0.00",""
"135","https://api.fifa.com/api/v3/picture/flags-sq-2/SGP?tx=c_fill,g_auto,q_auto,w_70,h_46","Singapore","1074.76","1074.76","0.00",""
"139","https://api.fifa.com/api/v3/picture/flags-sq-2/TJK?tx=c_fill,g_auto,q_auto,w_70,h_46","Tajikistan","1044.07","1044.07","0.00",""
"141","https://api.fifa.com/api/v3/picture/flags-sq-2/LBN?tx=c_fill,g_auto,q_auto,w_70,h_46","Lebanon","1032.23","1032.23","0.00",""
"145","https://api.fifa.com/api/v3/picture/flags-sq-2/BAN?tx=c_fill,g_auto,q_auto,w_70,h_46","Bangladesh","1004.61","1004.61","0.00",""
"150","https://api.fifa.com/api/v3/picture/flags-sq-2/SRI?tx=c_fill,g_auto,q_auto,w_70,h_46","Sri Lanka","968","968","0.00",""
"152","https://api.fifa.com/api/v3/picture/flags-sq-2/MDV?tx=c_fill,g_auto,q_auto,w_70,h_46","Maldives","952.73","952.73","0.00",""
"169","https://api.fifa.com/api/v3/picture/flags-sq-2/BHU?tx=c_fill,g_auto,q_auto,w_70,h_46","Bhutan","769","769","0.00",""
